Selection,Selected Feature Count Mean,Selected Feature Count Min,Selected Feature Count Max,CV Accuracy Mean,CV Accuracy Std,CV Balanced Acc Mean,CV Macro F1 Mean,CV Macro F1 Std,CV Weighted F1 Mean,Holdout Accuracy,Holdout Balanced Acc,Holdout Macro F1
all_80_features,80.0,80,80,0.7927999999999998,0.04205506079267652,0.5898695652173912,0.5988794285039019,0.08984652817918405,0.7759186590320075,0.76,0.5585507246376811,0.604047619047619
variance_only,79.0,79,79,0.7903918367346937,0.04217219100656313,0.5887739130434781,0.5979523989836928,0.089114471349864,0.7735860589997579,0.78,0.5685507246376812,0.6131749958766287
extratrees_top_50,50.0,50,50,0.790048979591837,0.053460157483407864,0.5887884057971015,0.5952802855710136,0.09296715601887327,0.7729667329353266,0.74,0.40188405797101445,0.4128787878787879
rfe_logreg_40,40.0,40,40,0.7900244897959183,0.04658251026287302,0.592504347826087,0.6037289697877225,0.09083810734257049,0.7734063354554906,0.76,0.4672463768115942,0.4756462585034013
rfe_logreg_30,30.0,30,30,0.7871755102040815,0.050978208834037086,0.5842753623188406,0.5942812257298921,0.09914532600066177,0.77024262988277,0.76,0.41057971014492756,0.42140484100616993
corr_095,45.24,44,47,0.7831510204081633,0.042761801822736964,0.5597304347826086,0.5803119156207365,0.08659693530688908,0.7656786803085311,0.7,0.44115942028985505,0.4500483091787439
selectk_f_60,60.0,60,60,0.782326530612245,0.05133235249166159,0.5861246376811594,0.588878248072228,0.09828277136763394,0.7654255910663395,0.78,0.47724637681159415,0.4851700680272109
extratrees_top_40,40.0,40,40,0.781991836734694,0.053126969630538076,0.5717304347826088,0.5773970545809851,0.09742511558090902,0.7636998428114246,0.7,0.38318840579710145,0.39541371158392435
extratrees_top_30,30.0,30,30,0.7771918367346938,0.052515285016363135,0.558463768115942,0.5620000996543287,0.0939583950437763,0.7573482639293049,0.74,0.4005797101449276,0.41210251542477455
selectk_f_50,50.0,50,50,0.7746448979591836,0.05070620902301854,0.5691362318840579,0.5720029764930272,0.10140584635509896,0.7560776619659201,0.78,0.5365217391304349,0.49539217102412253
rfe_logreg_20,20.0,20,20,0.7734693877551021,0.053924036841385845,0.5575217391304348,0.5678660305434053,0.10925486245040923,0.7546016790072576,0.74,0.40318840579710147,0.4001581027667984
selectk_f_40,40.0,40,40,0.7637714285714284,0.048439715772699794,0.5373594202898552,0.5452800022072656,0.1046213605548603,0.7435786456838513,0.74,0.552463768115942,0.572025615099427
corr_090,34.12,31,37,0.7634367346938775,0.05193698100424272,0.5255101449275362,0.5480503279866504,0.1031202848735427,0.7452782777971003,0.76,0.4698550724637681,0.4765217391304349
extratrees_top_20,20.0,20,20,0.7626040816326531,0.0506465249281425,0.5176782608695651,0.5204545559195893,0.11101988032419892,0.7395462017282894,0.72,0.39188405797101444,0.38717054263565887
selectk_f_35,35.0,35,35,0.7565551020408162,0.04799459639166511,0.5163246376811594,0.5222873699874367,0.10785818050478028,0.7361783148255828,0.72,0.543768115942029,0.5627152988855115
selectk_f_25,25.0,25,25,0.7421061224489796,0.05828344819238564,0.49390144927536234,0.49619087087473474,0.10645522558271009,0.7184363617742636,0.68,0.4684057971014493,0.5139186991869918
selectk_f_30,30.0,30,30,0.7421061224489796,0.059073358695962294,0.4930521739130434,0.49520336664766057,0.10131305870436436,0.7185955549520913,0.72,0.6350724637681159,0.6469387755102041
selectk_f_20,20.0,20,20,0.7368244897959183,0.058441527856987606,0.486431884057971,0.4906769021877537,0.10548243261198573,0.7136124064727443,0.68,0.4684057971014493,0.5139186991869918
selectk_f_15,15.0,15,15,0.7198857142857142,0.05858495413766194,0.46192173913043477,0.4608128800192885,0.10637043079963862,0.695097848569157,0.66,0.45840579710144935,0.5054421768707483
