Model,Family,Fit Strategy,Class,Precision_Mean,Recall_Mean,F1_Mean,Support_Total
LDA shrinkage,linear,none,Bee,0.7931925100071553,0.7660869565217391,0.7763749613275682,1150
LDA shrinkage,linear,none,Bumblebee,0.7673617118954443,0.8109999999999999,0.7842784899951826,1000
LDA shrinkage,linear,none,Butterfly,0.6416666666666667,0.56,0.5735714285714285,150
LDA shrinkage,linear,none,Hover fly,0.2333333333333333,0.17,0.18933333333333333,90
LDA shrinkage,linear,none,Wasp,0.5536666666666666,0.7,0.5831428571428572,90
SVM RBF C=10,svm,none,Bee,0.7862963617670933,0.8147826086956522,0.7973350443084766,1150
SVM RBF C=10,svm,none,Bumblebee,0.7816916734935445,0.8320000000000001,0.8031584117312982,1000
SVM RBF C=10,svm,none,Butterfly,0.6566666666666667,0.42,0.490952380952381,150
SVM RBF C=10,svm,none,Hover fly,0.01,0.01,0.01,90
SVM RBF C=10,svm,none,Wasp,0.85,0.77,0.778,90
SVM RBF C=10 balanced,svm_weighted,none,Bee,0.8108980685360615,0.768695652173913,0.7849078698777405,1150
SVM RBF C=10 balanced,svm_weighted,none,Bumblebee,0.782749988583479,0.86,0.8165436140147193,1000
SVM RBF C=10 balanced,svm_weighted,none,Butterfly,0.6216666666666666,0.42666666666666664,0.4815238095238095,150
SVM RBF C=10 balanced,svm_weighted,none,Hover fly,0.06133333333333333,0.08,0.06742857142857143,90
SVM RBF C=10 balanced,svm_weighted,none,Wasp,0.7266666666666667,0.7,0.6733333333333333,90
SVM RBF C=10 hybrid_50,svm_resampled,hybrid_50,Bee,0.777350084981352,0.7191304347826087,0.7417452705246913,1150
SVM RBF C=10 hybrid_50,svm_resampled,hybrid_50,Bumblebee,0.7484101006465255,0.784,0.7605967199007623,1000
SVM RBF C=10 hybrid_50,svm_resampled,hybrid_50,Butterfly,0.6533333333333333,0.44,0.4959047619047619,150
SVM RBF C=10 hybrid_50,svm_resampled,hybrid_50,Hover fly,0.10800000000000001,0.13,0.11076190476190476,90
SVM RBF C=10 hybrid_50,svm_resampled,hybrid_50,Wasp,0.6646666666666667,0.87,0.7132380952380953,90
Two-stage LDA/LDA/LDA,two_stage,none,Bee,0.7737982067014911,0.7791304347826088,0.7735783080842813,1150
Two-stage LDA/LDA/LDA,two_stage,none,Bumblebee,0.740677002580435,0.79,0.7609695731807351,1000
Two-stage LDA/LDA/LDA,two_stage,none,Butterfly,0.762,0.5533333333333332,0.621,150
Two-stage LDA/LDA/LDA,two_stage,none,Hover fly,0.17066666666666666,0.12,0.1337142857142857,90
Two-stage LDA/LDA/LDA,two_stage,none,Wasp,0.255,0.3,0.258,90
Two-stage SVM/SVM/LDA,two_stage,none,Bee,0.7997031334902515,0.72,0.7535590949296701,1150
Two-stage SVM/SVM/LDA,two_stage,none,Bumblebee,0.7959112055640526,0.785,0.7866027411855581,1000
Two-stage SVM/SVM/LDA,two_stage,none,Butterfly,0.6462380952380953,0.5133333333333333,0.5410952380952381,150
Two-stage SVM/SVM/LDA,two_stage,none,Hover fly,0.10422222222222223,0.15,0.11444588744588743,90
Two-stage SVM/SVM/LDA,two_stage,none,Wasp,0.4957142857142857,0.79,0.5801269841269842,90
Two-stage SVM/SVM/SVM,two_stage,none,Bee,0.7997031334902515,0.72,0.7535590949296701,1150
Two-stage SVM/SVM/SVM,two_stage,none,Bumblebee,0.7959112055640526,0.785,0.7866027411855581,1000
Two-stage SVM/SVM/SVM,two_stage,none,Butterfly,0.6213333333333333,0.5133333333333333,0.5335238095238095,150
Two-stage SVM/SVM/SVM,two_stage,none,Hover fly,0.08349999999999999,0.13,0.09652380952380951,90
Two-stage SVM/SVM/SVM,two_stage,none,Wasp,0.564,0.79,0.6191904761904762,90
Voting SVM+LDA+ET,fusion,none,Bee,0.8188010055617256,0.8243478260869566,0.8179519343950095,1150
Voting SVM+LDA+ET,fusion,none,Bumblebee,0.7923925039885718,0.875,0.8275404462197382,1000
Voting SVM+LDA+ET,fusion,none,Butterfly,0.685,0.5,0.5535714285714285,150
Voting SVM+LDA+ET,fusion,none,Hover fly,0.12,0.08,0.09333333333333332,90
Voting SVM+LDA+ET,fusion,none,Wasp,0.8,0.67,0.7020000000000001,90
Voting SVM+LDA+ET hybrid_50,fusion_resampled,hybrid_50,Bee,0.8223213684583689,0.7426086956521739,0.774978771476017,1150
Voting SVM+LDA+ET hybrid_50,fusion_resampled,hybrid_50,Bumblebee,0.7660513201029489,0.826,0.7905127722844864,1000
Voting SVM+LDA+ET hybrid_50,fusion_resampled,hybrid_50,Butterfly,0.6816666666666668,0.5333333333333333,0.5725238095238095,150
Voting SVM+LDA+ET hybrid_50,fusion_resampled,hybrid_50,Hover fly,0.19166666666666668,0.26,0.20723809523809525,90
Voting SVM+LDA+ET hybrid_50,fusion_resampled,hybrid_50,Wasp,0.6343333333333333,0.78,0.6648571428571428,90
